Device,Mitigation,Fault,Area,Linac_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Enable
BPM21B,LINAC,all,BC2B,1130.77084,530,-,70,L2KG04-2615,0,N/A,0
BPME201,LINAC,all,EMIT2,1174.677336,150,-,70,L2KG04-2615,1,N/A,0
BPME202,LINAC,all,EMIT2,1191.293743,300,-,72,L2KG04-2615,1,N/A,0
BPME203,LINAC,all,EMIT2,1253.329341,800,-,72,L2KG04-2615,0,N/A,0
BPME204,LINAC,all,EMIT2,1263.526191,900,-,73,L2KG04-2615,1,N/A,0
CMB16,LINAC,all,L3B,1319.442552,1683,-,62,L2KG04-1923,1,N/A,0
CMB17,LINAC,all,L3B,1359.535696,1783,-,62,L2KG04-1923,0,N/A,0
CMB18,LINAC,all,L3B,1399.628839,1883,-,63,L2KG04-1923,1,N/A,0
CMB19,LINAC,all,L3B,1439.721982,1983,-,82,L2KG05-6133,1,N/A,0
CMB20,LINAC,all,L3B,1479.815125,2083,-,82,L2KG05-6133,0,N/A,0
CMB21,LINAC,all,L3B,1519.908268,2183,-,83,L2KG05-6133,1,N/A,0
CMB22,LINAC,all,L3B,1560.001411,2283,-,83,L2KG05-6133,0,N/A,0
CMB23,LINAC,all,L3B,1600.094554,2383,-,84,L2KG06-6033,1,N/A,0
CMB24,LINAC,all,L3B,1640.187697,2483,-,84,L2KG06-6033,0,N/A,0
CMB25,LINAC,all,L3B,1680.28084,2583,-,85,L2KG06-6033,1,N/A,0
CMB26,LINAC,all,L3B,1728.737861,2683,-,85,L2KG06-6033,0,N/A,0
CMB27,LINAC,all,L3B,1768.831004,2783,-,86,L2KG06-6033,1,N/A,0
CMB28,LINAC,all,L3B,1808.924147,2883,-,89,L2KG06-6133,1,N/A,0
CMB29,LINAC,all,L3B,1849.01729,2983,-,89,L2KG06-6133,0,N/A,0
CMB30,LINAC,all,L3B,1889.110433,3083,-,90,L2KG06-6133,1,N/A,0
CMB31,LINAC,all,L3B,1929.203576,3183,-,90,L2KG06-6133,0,N/A,0
CMB32,LINAC,all,L3B,1969.296719,3283,-,95,L2KG07-3737,1,N/A,0
CMB33,LINAC,all,L3B,2009.389862,3383,-,95,L2KG07-3737,0,N/A,0
CMB34,LINAC,all,L3B,2049.483005,3483,-,96,L2KG07-3737,1,N/A,0
CMB35,LINAC,all,L3B,2089.576148,3583,-,96,L2KG07-3737,0,N/A,0
BPMX01,LINAC,all,EXT,2130.566601,351,-,97,L2KG07-3737,1,N/A,0
BPMX02,LINAC,all,EXT,2161.056102,748,-,97,L2KG07-3737,0,N/A,0
BPMDOG1,LINAC,all,DOG,2207.789738,120,-,98,L2KG07-3831,1,N/A,0
BPMDOG2,LINAC,all,DOG,2239.36773,135,-,98,L2KG07-3831,0,N/A,0
BPMDOG3,LINAC,all,DOG,2270.945722,150,-,99,L2KG07-3831,1,N/A,0
BPMDOG4,LINAC,all,DOG,2302.523714,165,-,99,L2KG07-3831,0,N/A,0
BPMDOG5,LINAC,all,DOG,2334.101706,180,-,104,L2KG08-3A33,1,N/A,0
BPMDOG6,LINAC,all,DOG,2365.679698,200,-,104,L2KG08-3A33,0,N/A,0
BPMDOG7,LINAC,all,DOG,2397.25769,215,-,105,L2KG08-3A33,1,N/A,0
BPMDOG8,LINAC,all,DOG,2428.835682,230,-,105,L2KG08-3A33,0,N/A,0
BPML1P,LINAC,all,DOG,2471.303724,250,-,107,L2KG08-8C33,1,N/A,0
BPML2P,LINAC,all,DOG,2531.221703,280,-,107,L2KG08-8C33,0,N/A,0
BPML3P,LINAC,all,DOG,2644.860482,335,-,108,L2KG08-8C33,1,N/A,0
BPML4P,LINAC,all,DOG,2681.357858,355,-,108,L2KG08-8C33,0,N/A,0
BPML5P,LINAC,all,DOG,2784.295614,405,-,111,L2KG09-3C33,1,N/A,0
BPMBP10,LINAC,all,DOG,3117.628947,575,-,113,L2KG10-0733,1,N/A,0
BPMBP11,LINAC,all,DOG,3450.96228,740,-,117,L2KG11-4D33,1,N/A,0
BPMBP12,LINAC,all,DOG,3784.295614,910,-,119,L2KG12-0133,1,N/A,0
BPMBP13,LINAC,all,BPN13,4117.628947,400,-,123,L2KG13-4D33,1,N/A,0
BPMBP14,LINAC,all,BPN14,4450.96228,400,-,125,L2KG14-7D33,1,N/A,0
BPMBP15,LINAC,all,BPN15,4784.295614,400,-,129,L2KG15-4D33,1,N/A,0
BPMBP16,LINAC,all,BPN16,5117.628947,400,-,131,L2KG16-6C33,1,N/A,0
BPMBP17,LINAC,all,BPN17,5450.96228,400,-,135,L2KG17-3D33,1,N/A,0
BPMBP18,LINAC,all,BPN18,5784.295614,400,-,137,L2KG18-6C33,1,N/A,0
BPMBP19,LINAC,all,BPN19,6117.628947,400,-,140,L2KG19-6D33,1,N/A,0
BPMBP20,LINAC,all,BPN20,6450.96228,400,-,142,FKG20-0127,1,N/A,0
BPMBP21,LINAC,all,BPN21,6784.295614,400,-,145,L2KG21-0433,1,N/A,0
BPMBP22,LINAC,all,BPN22,7117.628947,400,-,148,L2KG22-7D37,1,N/A,0
BPMBP23,LINAC,all,BPN23,7450.96228,400,-,151,L2KG23-7D37,1,N/A,0
BPMBP24,LINAC,all,BPN24,7784.295614,400,-,153,L2KG24-3D37,1,N/A,0
BPMBP25,LINAC,all,BPN25,8117.628947,400,-,156,L2KG25-7D37,1,N/A,0
BPMBP26,LINAC,all,BPN26,8450.96228,400,-,159,L2KG26-7D37,1,N/A,0
BPMBP27,LINAC,all,BPN27,8784.295614,400,-,162,L2KG27-7D37,1,N/A,0
BPMBP35,LINAC,all,BPN28,9044.466217,200,-,164,L2KG28-0137,1,N/A,0
BPMBP28,LINAC,all,BPN28,9116.644695,400,-,164,L2KG28-0137,0,N/A,0
BPMSPH,LINAC,all,SPD,9153.684393,135,-,165,L2KG28-0137,1,N/A,0
BPMSP1,LINAC,all,SPD,9274.527569,255,-,169,L2KG28-7D34,1,N/A,0
BPMSP1H,HXU,all,SPH,9343.403383,322,-,168,L2KG28-7D27,1,N/A,0
BPMSP2,LINAC,all,SPD,9352.319236,340,-,169,L2KG28-7D34,0,N/A,0
BPMSP2H,HXU,all,SPH,9357.403825,345,-,172,L2KG29-3D34,1,N/A,0
BPMSPS,LINAC,all,SPD,9439.694892,420,-,171,L2KG29-3D27,1,N/A,0
BPMSP3H,HXU,all,SPH,9443.125748,420,-,172,L2KG29-3D34,0,N/A,0
BPMSP4H,HXU,all,SPH,9472.182008,450,-,173,L2KG29-3D34,1,N/A,0
BPMSP5H,HXU,all,SPH,9544.553284,520,-,183,L2KG29-7D24,1,N/A,0
BPMSP1D,LINAC,all,SPD,9545.915364,525,-,176,L2KG29-7D10,1,N/A,0
BPMSP1S,SXU,all,SPS,9595.64502,572,-,179,L2KG29-7D17,1,N/A,0
BPMSP2S,SXU,all,SPS,9603.420135,580,-,179,L2KG29-7D17,0,N/A,0
BPMSP6H,HXU,all,SPH,9623.486197,600,-,183,L2KG29-7D24,0,N/A,0
BPMSP3S,SXU,all,SPS,9658.349554,640,-,180,L2KG29-7D17,1,N/A,0
BPMSP4S,SXU,all,SPS,9667.432231,650,-,186,L2KG30-4E20,1,N/A,0
BPMSP7H,HXU,all,SPH,9701.176995,675,-,188,L2KG30-4E27,1,N/A,0
BPMSP2D,LINAC,all,SPD,9718.414052,700,-,185,L2KG30-4E13,1,N/A,0
BPMSP5S,SXU,all,SPS,9728.439449,710,-,186,L2KG30-4E20,0,N/A,0
BPMSP8H,HXU,all,SPH,9782.66436,760,-,188,L2KG30-4E27,0,N/A,0
BPMSP6S,SXU,all,SPS,9789.446667,770,-,187,L2KG30-4E20,1,N/A,0
BPMSP7S,SXU,all,SPS,9800.01622,780,-,187,L2KG30-4E20,0,N/A,0
BPMSP8S,SXU,all,SPS,9854.945315,830,-,194,L2KG30-7D20,1,N/A,0
BPMSP9H,HXU,all,SPH,9861.598586,840,-,198,L2KG30-7D27,1,N/A,0
BPMSP9S,SXU,all,SPS,9862.72043,840,-,194,L2KG30-7D20,0,N/A,0
BPMSP10H,HXU,all,SPH,9928.061106,915,-,198,L2KG30-7D27,0,N/A,0
BPMSP11H,HXU,all,SPH,9958.523524,940,-,199,L2KG30-7D27,1,N/A,0
BPMSP3D,LINAC,all,SPD,9976.656093,955,-,190,L2KG30-7D13,1,N/A,0
BPMBP36,SXU,all,SLTS,10013.98302,150,-,195,L2KG30-7D20,1,N/A,0
BPMSP12H,HXU,all,SLTH,10044.95017,200,-,209,B136-0628,1,N/A,0
BPMSP13H,HXU,all,SLTH,10062.74714,220,-,209,B136-0628,0,N/A,0
BPMBP31,SXU,all,SLTS,10205.52396,430,-,203,B136-0528,1,N/A,0
BPMBSYQ3,HXU,all,BSYH,10209.44782,445,-,208,B136-0628,1,N/A,0
BPMBP32,HXU,all,SLTS,10217.1769,460,-,203,B136-0528,0,N/A,0
BPMBSYQ4,HXU,all,BSYH,10223.02644,465,-,208,B136-0628,0,N/A,0
BPMSP4D,LINAC,all,SLTD,10326.73368,625,-,212,B106-0117,1,N/A,0
BPMBSYQ5,HXU,all,BSYH,10337.58202,640,-,217,B106-0124,1,N/A,0
BPMBSYQ6,HXU,all,BSYH,10402.28339,735,-,217,B106-0124,0,N/A,0
BPMBP34,SXU,all,BSYS,10490.98342,865,-,224,B106-0131,1,N/A,0
BPMSP5D,LINAC,all,SLTD,10509.60302,895,-,212,B106-0117,0,N/A,0
BPMBSYQA0,HXU,all,BSYH,10519.82063,910,-,218,B106-0124,1,N/A,0
BPMDBL1,SXU,all,LTUS,10579.66675,110,-,223,B106-0131,1,N/A,0
BPMVM1,HXU,all,LTUH,10580.68532,110,-,230,B105-0117,1,N/A,0
BPMVM2,HXU,all,LTUH,10583.83794,120,-,230,B105-0117,0,N/A,0
BPMDBL2,SXU,all,LTUS,10586.81898,120,-,223,B106-0131,0,N/A,0
BPMVB1,HXU,all,LTUH,10614.54955,130,-,231,B105-0117,1,N/A,0
BPMVB2,HXU,all,LTUH,10629.18508,150,-,231,B105-0117,0,N/A,0
BPMDL11,SXU,all,LTUS,10633.00927,150,-,224,B106-0131,0,N/A,0
BPMVB3,HXU,all,LTUH,10643.8206,170,-,233,B105-0124,1,N/A,0
BPMDL12,SXU,all,LTUS,10672.69402,180,-,238,B105-0131,1,N/A,0
BPMVM3,HXU,all,LTUH,10674.53217,180,-,233,B105-0124,0,N/A,0
BPMVM4,HXU,all,LTUH,10677.68476,190,-,234,B105-0124,1,N/A,0
BPMDL13,SXU,all,LTUS,10719.27514,235,-,238,B105-0131,0,N/A,0
BPMDL1,HXU,all,LTUH,10731.63469,250,-,234,B105-0124,0,N/A,0
BPMDL14,SXU,all,LTUS,10758.4849,270,-,239,B105-0131,1,N/A,0
BPMT12,HXU,all,LTUH,10790.37585,290,-,235,B105-0124,1,N/A,0
BPMDL15,SXU,all,LTUS,10800.30834,300,-,239,B105-0131,0,N/A,0
BPMDL16,SXU,all,LTUS,10845.72532,345,-,240,B105-0131,1,N/A,0
BPMDL2,HXU,all,LTUH,10849.11154,350,-,235,B105-0124,0,N/A,0
BPMDL17,SXU,all,LTUS,10886.56892,370,-,240,B105-0131,0,N/A,0
BPMT22,HXU,all,LTUH,10907.84722,390,-,236,B105-0124,1,N/A,0
BPMDL18,SXU,all,LTUS,10925.77868,430,-,256,B911-0634,1,N/A,0
BPMDL3,HXU,all,LTUH,10966.5884,450,-,243,B911-0620,1,N/A,0
BPMDL19,SXU,all,LTUS,10967.60213,450,-,256,B911-0634,0,N/A,0
BPMDL20,SXU,all,LTUS,11000.15479,470,-,257,B911-0634,1,N/A,0
BPMT32,HXU,all,LTUH,11025.33131,490,-,243,B911-0620,0,N/A,0
BPMDL21,SXU,all,LTUS,11037.66791,500,-,257,B911-0634,0,N/A,0
BPMDL22,SXU,all,LTUS,11045.26634,510,-,258,B911-0634,1,N/A,0
BPMVB1B,SXU,all,LTUS,11077.72301,540,-,258,B911-0634,0,N/A,0
BPMDL4,HXU,all,LTUH,11084.07595,550,-,244,B911-0620,1,N/A,0
BPMVB2B,SXU,all,LTUS,11085.60826,550,-,259,B911-0634,1,N/A,0
BPMVB3B,SXU,all,LTUS,11093.49351,560,-,259,B911-0634,0,N/A,0
BPMVM3B,SXU,all,LTUS,11120.7356,570,-,249,B911-0627,1,N/A,0
BPMVM4B,SXU,all,LTUS,11127.169,580,-,249,B911-0627,0,N/A,0
BPMT42,HXU,all,LTUH,11142.82058,590,-,244,B911-0620,0,N/A,0
BPMEM1,HXU,all,LTUH,11157.32777,620,-,245,B911-0620,1,N/A,0
BPMEM1B,SXU,all,LTUS,11157.32777,620,-,250,B911-0627,1,N/A,0
BPMEM2B,SXU,all,LTUS,11171.96318,640,-,250,B911-0627,0,N/A,0
BPMEM2,HXU,all,LTUH,11171.96318,640,-,245,B911-0620,0,N/A,0
BPMEM3B,SXU,all,LTUS,11212.84501,660,-,251,B911-0627,1,N/A,0
BPMEM3,HXU,all,LTUH,11212.84502,660,-,246,B911-0620,1,N/A,0
BPMEM4,HXU,all,LTUH,11227.48042,680,-,246,B911-0620,0,N/A,0
BPMEM4B,SXU,all,LTUS,11227.48042,680,-,251,B911-0627,0,N/A,0
BPME31B,SXU,all,LTUS,11263.72129,720,-,268,B912-1426,1,N/A,0
BPME31,HXU,all,LTUH,11263.72129,720,-,262,B912-1419,1,N/A,0
BPME32B,SXU,all,LTUS,11321.56762,730,-,268,B912-1426,0,N/A,0
BPME32,HXU,all,LTUH,11321.56762,730,-,262,B912-1419,0,N/A,0
BPME33,HXU,all,LTUH,11379.41395,740,-,263,B912-1419,1,N/A,0
BPME33B,SXU,all,LTUS,11379.41395,740,-,269,B912-1426,1,N/A,0
BPME34,HXU,all,LTUH,11437.26028,750,-,263,B912-1419,0,N/A,0
BPME34B,SXU,all,LTUS,11437.26028,750,-,269,B912-1426,0,N/A,0
BPME35,HXU,all,LTUH,11495.1066,760,-,296,B913-10725,1,N/A,0
BPME35B,SXU,all,LTUS,11495.1066,760,-,279,B913-10333,1,N/A,0
BPME36B,SXU,all,LTUS,11552.95293,780,-,279,B913-10333,0,N/A,0
BPME36,HXU,all,LTUH,11552.95294,770,-,296,B913-10725,0,N/A,0
BPMUM1,HXU,all,LTUH,11601.49682,820,-,297,B913-10725,1,N/A,0
BPMUM1B,SXU,all,LTUS,11606.41802,820,-,280,B913-10333,1,N/A,0
BPMUM2B,SXU,all,LTUS,11623.51403,840,-,280,B913-10333,0,N/A,0
BPMUM2,HXU,all,LTUH,11623.51403,840,-,297,B913-10725,0,N/A,0
BPMUM3B,SXU,all,LTUS,11651.27265,860,-,281,B913-10333,1,N/A,0
BPMUM3,HXU,all,LTUH,11651.27265,860,-,298,B913-10725,1,N/A,0
BPMUM4,HXU,all,LTUH,11665.90806,880,-,298,B913-10725,0,N/A,0
BPMUM4B,SXU,all,LTUS,11665.90806,880,-,281,B913-10333,0,N/A,0
RFBHX12,HXU,all,UNDH,11689.35221,1305,-,289,B913-10718,1,N/A,1
RFBHX13,HXU,all,UNDH,11702.0358,1390,-,289,B913-10718,0,N/A,1
RFBHX14,HXU,all,UNDH,11715.20057,1490,-,290,B913-10718,1,N/A,1
RFBHX15,HXU,all,UNDH,11728.36534,1590,-,290,B913-10718,0,N/A,1
RFBHX16,HXU,all,UNDH,11741.53012,1690,-,291,B913-10718,1,N/A,1
RFBHX17,HXU,all,UNDH,11754.69489,1790,-,291,B913-10718,0,N/A,1
RFBHX18,HXU,all,UNDH,11767.85967,1890,-,292,B913-10718,1,N/A,1
RFBHX19,HXU,all,UNDH,11781.02444,1990,-,292,B913-10718,0,N/A,1
RFBHX20,HXU,all,UNDH,11794.18921,2090,-,293,B913-10718,1,N/A,1
RFBHX21,HXU,all,UNDH,11807.35398,2190,-,293,B913-10718,0,N/A,1
RFBHX22,HXU,all,UNDH,11820.51876,2290,-,283,B913-10711,1,N/A,1
RFBHX23,HXU,all,UNDH,11833.68353,2390,-,283,B913-10711,0,N/A,1
RFBHX24,HXU,all,UNDH,11846.8483,2490,-,284,B913-10711,1,N/A,1
RFBHX25,HXU,all,UNDH,11860.01308,2590,-,284,B913-10711,0,N/A,1
RFBHX26,HXU,all,UNDH,11873.17785,2690,-,285,B913-10711,1,N/A,1
RFBHX27,HXU,all,UNDH,11886.34263,2790,-,285,B913-10711,0,N/A,1
RFBHX28,HXU,all,UNDH,11899.5074,2890,-,318,B921-1524,1,N/A,1
RFBHX29,HXU,all,UNDH,11912.67217,2990,-,318,B921-1524,0,N/A,1
RFBHX30,HXU,all,UNDH,11925.83695,3090,-,319,B921-1524,1,N/A,1
RFBHX31,HXU,all,UNDH,11939.00172,3190,-,313,B921-1517,1,N/A,1
RFBHX32,HXU,all,UNDH,11952.16649,3290,-,313,B921-1517,0,N/A,1
RFBHX33,HXU,all,UNDH,11965.33127,3390,-,314,B921-1517,1,N/A,1
RFBHX34,HXU,all,UNDH,11978.49604,3490,-,314,B921-1517,0,N/A,1
RFBHX35,HXU,all,UNDH,11991.66081,3590,-,315,B921-1517,1,N/A,1
RFBHX36,HXU,all,UNDH,12004.82558,3690,-,336,B921-8324,1,N/A,1
RFBHX37,HXU,all,UNDH,12017.99036,3790,-,336,B921-8324,0,N/A,1
RFBHX38,HXU,all,UNDH,12031.15513,3890,-,337,B921-8324,1,N/A,1
RFBHX39,HXU,all,UNDH,12044.31991,3990,-,337,B921-8324,0,N/A,1
RFBHX40,HXU,all,UNDH,12057.48468,4090,-,338,B921-8324,1,N/A,1
RFBHX41,HXU,all,UNDH,12070.64945,4190,-,338,B921-8324,0,N/A,1
RFBHX42,HXU,all,UNDH,12083.81423,4290,-,339,B921-8324,1,N/A,1
RFBHX43,HXU,all,UNDH,12096.979,4390,-,339,B921-8324,0,N/A,1
RFBHX44,HXU,all,UNDH,12110.14377,4490,-,331,B921-8317,1,N/A,1
RFBHX45,HXU,all,UNDH,12123.30855,4590,-,331,B921-8317,0,N/A,1
RFBHX46,HXU,all,UNDH,12136.47332,4690,-,332,B921-8317,1,N/A,1
RFBHX51,HXU,all,UNDH,12199.47955,5190,-,332,B921-8317,0,N/A,1
BPMUE1,HXU,all,DMPH,12218.8162,325,-,333,B921-8317,1,N/A,0
BPMUE2,HXU,all,DMPH,12244.37507,381,-,333,B921-8317,0,N/A,0
BPMQD,HXU,all,DMPH,12310.68132,502,-,334,B921-8317,1,N/A,0
BPMDD,HXU,all,DMPH,12339.41797,693,-,334,B921-8317,0,N/A,0
RFBSX16,SXU,all,UNDS,11738.46936,1690,-,274,B913-10233,1,N/A,0
RFBSX19,SXU,all,UNDS,11781.77644,1990,-,274,B913-10233,0,N/A,0
RFBSX21,SXU,all,UNDS,11810.64784,2190,-,275,B913-10233,1,N/A,0
RFBSX24,SXU,all,UNDS,11853.95492,2490,-,275,B913-10233,0,N/A,0
RFBSX25,SXU,all,UNDS,11868.39062,2590,-,276,B913-10233,1,N/A,0
RFBSX26,SXU,all,UNDS,11882.82631,2690,-,276,B913-10233,0,N/A,0
RFBSX27,SXU,all,UNDS,11897.26201,2790,-,308,B921-1433,1,N/A,0
RFBSX28,SXU,all,UNDS,11911.6977,2890,-,308,B921-1433,0,N/A,0
RFBSX29,SXU,all,UNDS,11926.1334,2990,-,309,B921-1433,1,N/A,0
RFBSX30,SXU,all,UNDS,11940.56909,3090,-,309,B921-1433,0,N/A,0
RFBSX31,SXU,all,UNDS,11955.00479,3190,-,310,B921-1433,1,N/A,0
RFBSX32,SXU,all,UNDS,11969.44049,3290,-,310,B921-1433,0,N/A,0
RFBSX33,SXU,all,UNDS,11983.87618,3390,-,311,B921-1433,1,N/A,0
RFBSX34,SXU,all,UNDS,11998.31188,3490,-,311,B921-1433,0,N/A,0
RFBSX35,SXU,all,UNDS,12012.74757,3590,-,301,B921-1421,1,N/A,0
RFBSX36,SXU,all,UNDS,12027.18327,3690,-,301,B921-1421,0,N/A,0
RFBSX37,SXU,all,UNDS,12041.61896,3790,-,302,B921-1421,1,N/A,0
RFBSX38,SXU,all,UNDS,12056.05466,3890,-,302,B921-1421,0,N/A,0
RFBSX39,SXU,all,UNDS,12070.49035,3990,-,303,B921-1421,1,N/A,0
RFBSX40,SXU,all,UNDS,12084.92605,4090,-,322,B921-8233,1,N/A,0
RFBSX41,SXU,all,UNDS,12099.36175,4190,-,322,B921-8233,0,N/A,0
RFBSX42,SXU,all,UNDS,12113.79744,4290,-,323,B921-8233,1,N/A,0
RFBSX43,SXU,all,UNDS,12128.23314,4390,-,323,B921-8233,0,N/A,0
RFBSX44,SXU,all,UNDS,12142.66883,4490,-,324,B921-8233,1,N/A,0
RFBSX45,SXU,all,UNDS,12157.10453,4590,-,324,B921-8233,0,N/A,0
RFBSX46,SXU,all,UNDS,12171.54022,4690,-,325,B921-8233,1,N/A,0
RFBSX47,SXU,all,UNDS,12185.97592,4790,-,325,B921-8233,0,N/A,0
RFBSX51,SXU,all,UNDS,12232.75413,5190,-,326,B921-8233,1,N/A,0
BPMUE1B,SXU,all,DMPS,12218.59877,325,-,328,B921-8218,1,N/A,0
BPMUE2B,SXU,all,DMPS,12244.16778,381,-,328,B921-8218,0,N/A,0
BPMQDB,SXU,all,DMPS,12310.68132,502,-,329,B921-8218,1,N/A,0
BPMDDB,SXU,all,DMPS,12339.41796,693,-,329,B921-8218,0,N/A,0
