Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Mapping,Cable_HV,Cable_#,offset,slope
PBLM:BPN21:441,LINAC,all,BPN21,6793.16602,441,L2KG21-0410,144,L2KG21-0433,0,MISSING,OK,L2A05190,L2A05215,0,1
PBLM:BPN22:441,LINAC,all,BPN22,7126.499354,441,L2KG22-7D15,147,L2KG22-7D37,0,MISSING,OK,L2A05191,L2A05216,0,1
PBLM:BPN25:441,LINAC,all,BPN25,8126.499354,441,L2KG25-7D15,155,L2KG25-7D37,0,MISSING,OK,L2A05192,L2A05217,0,1
PBLM:BPN26:441,LINAC,all,BPN26,8459.832687,441,L2KG26-7D15,158,L2KG26-7D37,0,MISSING,OK,L2A05193,L2A05218,0,1
PBLM:SPH:9197,HXU,all,SPH,9197.427831,9197,L2KG28-7D10,167,L2KG28-7D27,3,MISSING,OK,L2A05194,L2A05219,0,1
PBLM:SPS:9483,SXU,all,SPS,9483.43833,9483,L2KG29-7C10,178,L2KG29-7D17,3,MISSING,OK,L2A05195,L2A05220,0,1
PBLM:SLTS:431,SXU,all,SLTS,10200.22803,431,B136-0420,202,B136-0528,4,MISSING,OK,L2A05196,L2A05221,0,1
PBLM:BSYS:854,SXU,all,BSYS,10485.68748,854,B106-0345,222,B106-0131,0,MISSING,OK,L2A05197,L2A05222,0,1
PBLM:BSYH:891,LINAC,all,BSYH,10508.8283,891,B106-0345,216,B106-0124,0,MISSING,OK,L2A05524,L2A05525,0,1
PBLM:LTUS:105,SXU,all,LTUS,10583.24286,105,B106-0345,222,B106-0131,1,MISSING,OK,L2A05200,L2A05225,0,1
PBLM:LTUS:212,SXU,all,LTUS,10717.79216,212,B105-0542,237,B105-0131,0,MISSING,OK,L2A05201,L2A05226,0,1
PBLM:LTUH:252,HXU,all,LTUH,10736.30717,252,B105-0542,232,B105-0124,0,MISSING,OK,L2A05202,L2A05227,0,1
PBLM:LTUH:361,HXU,all,LTUH,10771.82688,361,B105-0545,232,B105-0124,1,MISSING,OK,L2A05203,L2A05228,0,1
PBLM:LTUS:314,SXU,all,LTUS,10844.24658,314,B105-0545,237,B105-0131,1,MISSING,OK,L2A05204,L2A05229,0,1
PBLM:LTUH:369,HXU,all,LTUH,10910.24336,369,B105-0545,232,B105-0124,2,MISSING,OK,L2A05205,L2A05230,0,1
PBLM:LTUS:347,SXU,all,LTUS,10885.08595,347,B105-0545,237,B105-0131,2,MISSING,OK,L2A05206,L2A05231,0,1
PBLM:LTUH:418,HXU,all,LTUH,10971.26088,418,B911-0604,242,B911-0620,0,MISSING,OK,L2A05207,L2A05232,0,1
PBLM:LTUH:447,HXU,all,LTUH,11006.78059,447,B911-0604,242,B911-0620,1,MISSING,OK,L2A05208,L2A05233,0,1
PBLM:LTUH:996,HXU,all,LTUH,11686.18609,996,B913-10224,295,B913-10725,0,MISSING,OK,L2A05309,L2A05234,0,1
PBLM:LTUS:996,SXU,all,LTUS,11695.37234,996,B913-10224,273,B913-10233,0,MISSING,OK,L2A05311,L2A05236,0,1
PBLM:BSY0:460:1S,SXU,all,BSY0,10236,460:1S,B136-0830-S1-MPS-OUT1,202,B136-0528,5,MISSING,OK,N/A,L2J06834,0,1
PBLM:BSY0:460:1H,HXU,all,BSY0,10236,460:1H,B136-0830-S2-MPS-OUT2,207,B136-0628,4,MISSING,OK,N/A,L2J06835,0,1
PBLM:BSY0:485:1S,SXU,all,BSY0,10252,485:1S,B136-0830-S2-MPS-OUT1,204,B136-0528,0,MISSING,OK,N/A,L2J06836,0,1
PBLM:BSY0:485:1H,HXU,all,BSY0,10252,485:1H,B136-0830-S2-MPS-OUT2,207,B136-0628,5,MISSING,OK,N/A,L2J06837,0,1
PBLM:BSY0:704:1S,SXU,all,BSY0,10390,704:1S,B136-0830-S3-MPS-OUT1,204,B136-0528,1,MISSING,OK,N/A,L2J06838,0,1
PBLM:BSY0:704:1H,HXU,all,BSY0,10390,704:1H,B136-0830-S3-MPS-OUT2,210,B136-0628,0,MISSING,OK,N/A,L2J06839,0,1
PBLM:BSY0:807:1S,SXU,all,BSY0,10456,807:1S,B136-0830-S4-MPS-OUT1,204,B136-0528,2,MISSING,OK,N/A,L2J06840,0,1
PBLM:BSY0:807:1H,HXU,all,BSY0,10456,807:1H,B136-0830-S4-MPS-OUT2,210,B136-0628,1,MISSING,OK,N/A,L2J06841,0,1
PBLM:BSYH:838:1S,SXU,all,BSYH,10475,838:1S,B106-0627-S1-MPS-OUT1,222,B106-0131,2,MISSING,OK,N/A,L2J06881-Ver,0,1
PBLM:BSYH:838:1H,HXU,all,BSYH,10475,838:1H,B106-0627-S1-MPS-OUT2,216,B106-0124,1,MISSING,OK,N/A,L2J06882-Ver,0,1
PBLM:BSYH:843:1S,SXU,all,BSYH,10479,843:1S,B106-0627-S2-MPS-OUT1,222,B106-0131,3,MISSING,OK,N/A,L2J06883-Ver,0,1
PBLM:BSYH:843:1H,HXU,all,BSYH,10479,843:1H,B106-0627-S2-MPS-OUT2,216,B106-0124,2,MISSING,OK,N/A,L2J06884-Ver,0,1
PBLM:BSYH:900:1S,SXU,all,BSYH,10515,900:1S,B106-0627-S3-MPS-OUT1,222,B106-0131,4,MISSING,OK,N/A,L2J06885-Ver,0,1
PBLM:BSYH:900:1H,HXU,all,BSYH,10515,900:1H,B106-0627-S3-MPS-OUT2,216,B106-0124,3,MISSING,OK,N/A,L2J06886-Ver,0,1
PBLM:BSY0:910:1S,SXU,all,BSY0,10521,910:1S,B106-0627-S4-MPS-OUT1,222,B106-0131,5,MISSING,OK,N/A,L2J06887-Ver,0,1
PBLM:BSY0:910:1H,HXU,all,BSY0,10521,910:1H,B106-0627-S4-MPS-OUT2,216,B106-0124,4,MISSING,OK,N/A,L2J06888-Ver,0,1
PBLM:BSYS:771:1S,SXU,all,BSYS,0,771:1S,B106-0630-S1-MPS-OUT1,225,B106-0131,1,MISSING,OK,N/A,MISSING,0,1
PBLM:BSYS:771:1H,HXU,all,BSYS,0,771:1H,B106-0630-S1-MPS-OUT2,213,B106-0117,0,MISSING,OK,N/A,MISSING,0,1
PBLM:BSYS:884:1S,SXU,all,BSYS,0,884:1S,B106-0630-S2-MPS-OUT1,225,B106-0131,2,MISSING,OK,N/A,MISSING,0,1
PBLM:BSYS:884:1H,HXU,all,BSYS,0,884:1H,B106-0630-S2-MPS-OUT2,213,B106-0117,1,MISSING,OK,N/A,MISSING,0,1
PBLM:BSYS:894:1S,SXU,all,BSYS,0,894:1S,B106-0630-S3-MPS-OUT1,225,B106-0131,3,MISSING,OK,N/A,MISSING,0,1
PBLM:BSYS:894:1H,HXU,all,BSYS,0,894:1H,B106-0630-S3-MPS-OUT2,213,B106-0117,2,MISSING,OK,N/A,MISSING,0,1
PBLM:LTU0:150:1S,SXU,all,LTU0,10639,150:1S,B106-0630-S4-MPS-OUT1,226,B106-0131,0,MISSING,OK,N/A,L2J06889-Ver,0,1
PBLM:LTU0:150:1H,HXU,all,LTU0,10639,150:1H,B106-0630-S4-MPS-OUT2,216,B106-0124,5,MISSING,OK,N/A,L2J06890-Ver,0,1
PBLM:LTU0:203:1S,SXU,all,LTU0,10705,203:1S,B106-0633-S1-MPS-OUT1,226,B106-0131,1,MISSING,OK,N/A,L2J06891,0,1
PBLM:LTU0:203:1H,HXU,all,LTU0,10705,203:1H,B106-0633-S1-MPS-OUT2,219,B106-0124,2,MISSING,OK,N/A,L2J06892,0,1
PBLM:LTU0:256:1S,SXU,all,LTU0,10771,256:1S,B106-0633-S2-MPS-OUT1,226,B106-0131,2,MISSING,OK,N/A,L2J06893,0,1
PBLM:LTU0:256:1H,HXU,all,LTU0,10771,256:1H,B106-0633-S2-MPS-OUT2,219,B106-0124,3,MISSING,OK,N/A,L2J06894,0,1
PBLM:LTU0:309:1S,SXU,all,LTU0,10836,309:1S,B106-0633-S3-MPS-OUT1,226,B106-0131,3,MISSING,OK,N/A,L2J06895,0,1
PBLM:LTU0:309:1H,HXU,all,LTU0,10836,309:1H,B106-0633-S3-MPS-OUT2,219,B106-0124,4,MISSING,OK,N/A,L2J06896,0,1
PBLM:LTU0:362:1S,SXU,all,LTU0,10901,362:1S,B106-0633-S4-MPS-OUT1,226,B106-0131,4,MISSING,OK,N/A,L2J06897,0,1
PBLM:LTU0:362:1H,HXU,all,LTU0,10901,362:1H,B106-0633-S4-MPS-OUT2,219,B106-0124,5,MISSING,OK,N/A,L2J06898,0,1
PBLM:LTU0:416:1S,SXU,all,LTU0,10966,416:1S,B911-2536-S1-MPS-OUT1,255,B911-0634,0,MISSING,OK,N/A,L2J06975,0,1
PBLM:LTU0:416:1H,HXU,all,LTU0,10966,416:1H,B911-2536-S1-MPS-OUT2,242,B911-0620,3,MISSING,OK,N/A,L2J06976,0,1
PBLM:LTU0:469:1S,SXU,all,LTU0,11033,469:1S,B911-2536-S2-MPS-OUT1,255,B911-0634,1,MISSING,OK,N/A,L2J06977,0,1
PBLM:LTU0:469:1H,HXU,all,LTU0,11033,469:1H,B911-2536-S2-MPS-OUT2,242,B911-0620,4,MISSING,OK,N/A,L2J06978,0,1
PBLM:LTU0:522:1S,SXU,all,LTU0,11099,522:1S,B911-2536-S3-MPS-OUT1,255,B911-0634,2,MISSING,OK,N/A,L2J06979,0,1
PBLM:LTU0:522:1H,HXU,all,LTU0,11099,522:1H,B911-2536-S3-MPS-OUT2,242,B911-0620,5,MISSING,OK,N/A,L2J06980,0,1
PBLM:LTU0:580:1S,SXU,all,LTU0,11171,580:1S,B911-2536-S4-MPS-OUT1,255,B911-0634,3,MISSING,OK,N/A,L2J06981,0,1
PBLM:LTU0:580:1H,HXU,all,LTU0,11171,580:1H,B911-2536-S4-MPS-OUT2,253,B911-0537,0,MISSING,OK,N/A,L2J06982,0,1
PBLM:LTU0:633:1S,SXU,all,LTU0,11236,633:1S,B911-2539-S1-MPS-OUT1,255,B911-0634,4,MISSING,OK,N/A,L2J06983,0,1
PBLM:LTU0:633:1H,HXU,all,LTU0,11236,633:1H,B911-2539-S1-MPS-OUT2,253,B911-0537,1,MISSING,OK,N/A,L2J06984,0,1
PBLM:LTU0:686:1S,SXU,all,LTU0,11302,686:1S,B911-2539-S2-MPS-OUT1,255,B911-0634,5,MISSING,OK,N/A,L2J06986,0,1
PBLM:LTU0:686:1H,HXU,all,LTU0,11302,686:1H,B91102539-S2-MPS-OUT2,253,B911-0537,2,MISSING,OK,N/A,L2J06985,0,1
PBLM:LTU0:739:1S,SXU,all,LTU0,11368,739:1S,B912-1336-S1-MPS-OUT1,267,B912-1426,0,MISSING,OK,N/A,L2J07162,0,1
PBLM:LTU0:739:1H,HXU,all,LTU0,11368,739:1H,B912-1336-S1-MPS-OUT2,261,B912-1419,0,MISSING,OK,N/A,L2J07163,0,1
PBLM:LTU0:792:1S,SXU,all,LTU0,11433,792:1S,B912-1336-S2-MPS-OUT1,267,B912-1426,1,MISSING,OK,N/A,L2J07164,0,1
PBLM:LTU0:792:1H,HXU,all,LTU0,11433,792:1H,B912-1336-S2-MPS-OUT2,261,B912-1419,1,MISSING,OK,N/A,L2J07165,0,1
PBLM:LTU0:845:1S,SXU,all,LTU0,11499,845:1S,B912-1336-S3-MPS-OUT1,267,B912-1426,2,MISSING,OK,N/A,L2J07166,0,1
PBLM:LTU0:845:1H,HXU,all,LTU0,11499,845:1H,B912-1336-S3-MPS-OUT2,261,B912-1419,2,MISSING,OK,N/A,L2J07167,0,1
PBLM:LTU0:898:1S,SXU,all,LTU0,11564,898:1S,B912-1336-S4-MPS-OUT1,267,B912-1426,3,MISSING,OK,N/A,L2J07168,0,1
PBLM:LTU0:898:1H,HXU,all,LTU0,11564,898:1H,B912-1336-S4-MPS-OUT2,261,B912-1419,3,MISSING,OK,N/A,L2J07169,0,1
PBLM:LTU0:951:1S,SXU,all,LTU0,11630,951:1S,B912-1339-S1-MPS-OUT1,267,B912-1426,4,MISSING,OK,N/A,L2J07170,0,1
PBLM:LTU0:951:1H,HXU,all,LTU0,11630,951:1H,B912-1339-S1-MPS-OUT2,261,B912-1419,4,MISSING,OK,N/A,L2A06654,0,1
PBLM:UND0:574:1S,SXU,all,UND0,11958,574:1S,B921-7039-S3-MPS-OUT1,307,B921-1433,0,MISSING,OK,N/A,MISSING,0,1
PBLM:UND0:574:1H,HXU,all,UND0,11958,574:1H,B921-7039-S3-MPS-OUT2,214,B921-1524,0,MISSING,OK,N/A,MISSING,0,1
PBLM:UE0:863:1S,SXU,all,UE0,12224,863:1S,B921-7039-S2-MPS-OUT1,305,B921-1421,3,MISSING,OK,N/A,MISSING,0,1
PBLM:UE0:863:1H,HXU,all,UE0,12224,863:1H,B921-7039-S2-MPS-OUT2,214,B921-1524,1,MISSING,OK,N/A,MISSING,0,1
PBLM:DMP0:204:1S,SXU,all,DMP0,12263,204:1S,B921-7039-S1-MPS-OUT1,304,B921-1421,0,MISSING,OK,N/A,L2K01864,0,1
PBLM:DMP0:204:1H,HXU,all,DMP0,12263,204:1H,B921-7039-S1-MPS-OUT2,317,B921-1524,3,MISSING,OK,N/A,L2K01865,0,1
PBLM:DMP0:282:1S,SXU,all,DMP0,12273,282:1S,B940-009-0530-S1-MPS-OUT1,343,B940-009-R7,0,MISSING,OK,N/A,L2A06946,0,1
PBLM:DMP0:282:1H,HXU,all,DMP0,12273,282:1H,B940-009-0530-S1-MPS-OUT2,341,B940-009-R2,0,MISSING,OK,N/A,L2A06947,0,1
PBLM:DMPS:583:1S,SXU,all,DMPS,12306,583:1S,B940-009-0530-S2-MPS-OUT1,343,B940-009-R7,1,MISSING,OK,N/A,L2A06948,0,1
PBLM:DMPS:583:1H,HXU,all,DMPS,12306,583:1H,B940-009-0530-S2-MPS-OUT2,341,B940-009-R2,1,MISSING,OK,N/A,L2A06956,0,1
PBLM:DMP0:723:1S,SXU,all,DMP0,12322,723:1S,B940-009-0530-S4-MPS-OUT1,343,B940-009-R7,2,MISSING,OK,N/A,L2A06950,0,1
PBLM:DMP0:723:1H,HXU,all,DMP0,12322,723:1H,B940-009-0530-S4-MPS-OUT2,341,B940-009-R2,2,MISSING,OK,N/A,L2A06951,0,1
PBLM:DMPS:838:1S,SXU,all,DMPS,12335,838:1S,B940-009-0533-S1-MPS-OUT1,343,B940-009-R7,3,MISSING,OK,N/A,L2A06952,0,1
PBLM:DMPH:838:1H,HXU,all,DMPH,12335,838:1H,B940-009-0533-S1-MPS-OUT2,341,B940-009-R2,3,MISSING,OK,N/A,L2A06953,0,1
PBLM:DMPS:997:1S,SXU,all,DMPS,12352,997:1S,B940-009-0533-S2-MPS-OUT1,343,B940-009-R7,4,MISSING,OK,N/A,L2J06954,0,1
PBLM:DMPH:997:1H,HXU,all,DMPH,12352,997:1H,B940-009-0533-S2-MPS-OUT2,341,B940-009-R2,4,MISSING,OK,N/A,L2J06955,0,1
PBLM:DMPH:583:1S,SXU,all,DMPH,12306,583:1S,B940-009-0530-S3-MPS-OUT1,343,B940-009-R7,5,MISSING,OK,N/A,L2J06949,0,1
PBLM:DMPH:583:1H,HXU,all,DMPH,12306,583:1H,B940-009-0530-S3-MPS-OUT2,341,B940-009-R2,5,MISSING,OK,N/A,L2A06957,0,1
